,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
105,Halcyon (Tom Middleton Re-model),20,Orbital,2009-01-01,499866,27,0.711,0.000369,0.711,0.952,0.832,0.214,-7.497,0.0432,126.018,4
106,Born Slippy (Nuxx) - Radio Edit,Born Slippy (Nuxx) [Radio Edit],Underworld,1995-01-01,264187,55,0.542,0.00107,0.542,0.966,0.128,0.0984,-8.255,0.0421,140.071,4
107,Out Of Control,Surrender,The Chemical Brothers,1999-01-01,439760,45,0.551,0.000622,0.551,0.933,0.086,0.0851,-4.361,0.0333,131.964,4
108,Weapon Of Choice,Halfway Between The Gutter And The Stars,Fatboy Slim,2000-01-01,345893,31,0.514,0.279,0.514,0.952,0.428,0.351,-8.655,0.136,101.206,4
109,Crazy,Seal,Seal,1991-06-11,268040,55,0.633,0.408,0.633,0.846,0.00341,0.11,-6.744,0.0426,102.871,4
110,17 Days,The Hits / The B-Sides,Prince,1993-09-13,240066,34,0.852,0.0993,0.852,0.702,0.00476,0.0644,-9.566,0.0638,114.553,4
111,Let Me Talk,Faces,"Earth, Wind & Fire",1980-10-14,248520,26,0.77,0.303,0.77,0.837,0.000312,0.735,-10.121,0.045,111.746,4
112,Lazy (feat. David Byrne) - Radio Edit,Lazy (feat. David Byrne),X-Press 2,2002-01-01,257920,16,0.697,0.000879,0.697,0.667,3.01e-06,0.1,-9.083,0.0315,130.01,4
113,Penthouse Serenade,Palladium - Single,Alan Braxe,2002-03-06,244453,21,0.743,0.00692,0.743,0.582,0.506,0.1,-6.717,0.0447,119.982,4
114,Cassius 1999 (Radio Edit),1999 (Deluxe Edition),Cassius,1999,221733,49,0.817,0.000431,0.817,0.812,0.0601,0.0589,-9.073,0.288,127.073,4
115,If I Ever Feel Better,United,Phoenix,2000-03-06,266600,63,0.755,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,4
